"id","name","pos","length","function_name","table_name","field_name"
"__export__.onpoint_seba_spec_277_43081b95","block2_status_register","234","1","read_data","NULL","status_register"
"__export__.onpoint_seba_spec_278_e93a2dfb","block2_logger_id","235","3","read_data","NULL","logger_id"
"__export__.onpoint_seba_spec_279_91942371","block2_config_packet_number","238","1","read_data","NULL","config_packet_number"
"__export__.onpoint_seba_spec_280_00e94a9c","block2_alarm_input1","239","4","read_data","NULL","alarm_input1"
"__export__.onpoint_seba_spec_281_398a64cd","block2_alarm_input2","243","4","read_data","NULL","alarm_input2"
"__export__.onpoint_seba_spec_282_01817968","block2_alarm_ch1_set_status","247","1","read_data","logger_channel_alarms","status"
"__export__.onpoint_seba_spec_283_2a140f78","block2_alarm_ch1_lower_treshold","248","2","read_data","logger_channel_alarms","lower_treshold"
"__export__.onpoint_seba_spec_284_e13c8e56","block2_alarm_ch1_upper_treshold","250","2","read_data","logger_channel_alarms","upper_treshold"
"__export__.onpoint_seba_spec_285_caa0e2cc","block2_alarm_ch1_hysteresis","252","1","read_data","logger_channel_alarms","hysteresis"
"__export__.onpoint_seba_spec_286_dd7bde4f","block2_alarm_ch1_debounce","253","1","read_data","logger_channel_alarms","debounce"
"__export__.onpoint_seba_spec_287_48fb49c2","block2_alarm_ch1_weekdays","254","1","read_data","logger_channel_alarms","weekdays"
"__export__.onpoint_seba_spec_288_6bced495","block2_alarm_ch1_ex_lower_treshold","255","2","read_data","logger_channel_alarms","ex_lower_treshold"
"__export__.onpoint_seba_spec_289_be0ffa12","block2_alarm_ch1_ex_upper_treshold","257","2","read_data","logger_channel_alarms","ex_upper_treshold"
"__export__.onpoint_seba_spec_290_a4e2df70","block2_alarm_ch1_ex_start","259","2","read_data","logger_channel_alarms","ex_start"
"__export__.onpoint_seba_spec_291_618894e9","block2_alarm_ch1_ex_stop","261","2","read_data","logger_channel_alarms","ex_stop"
"__export__.onpoint_seba_spec_292_a27304da","block2_alarm_ch1_ex_hysteresis","263","1","read_data","logger_channel_alarms","ex_hysteresis"
"__export__.onpoint_seba_spec_293_950a6784","block2_alarm_ch1_ex_debounce","264","1","read_data","logger_channel_alarms","ex_debounce"
"__export__.onpoint_seba_spec_294_a57f9850","block2_alarm_ch1_ex_weekdays","265","1","read_data","logger_channel_alarms","ex_weekdays"
"__export__.onpoint_seba_spec_295_62243e33","block2_alarm_ch2_set_status","266","1","read_data","logger_channel_alarms","status"
"__export__.onpoint_seba_spec_296_a0b4a40b","block2_alarm_ch2_lower_treshold","267","2","read_data","logger_channel_alarms","lower_treshold"
"__export__.onpoint_seba_spec_297_4e105afa","block2_alarm_ch2_upper_treshold","269","2","read_data","logger_channel_alarms","upper_treshold"
"__export__.onpoint_seba_spec_298_379679c4","block2_alarm_ch2_hysteresis","271","1","read_data","logger_channel_alarms","hysteresis"
"__export__.onpoint_seba_spec_299_bcf5331a","block2_alarm_ch2_debounce","272","1","read_data","logger_channel_alarms","debounce"
"__export__.onpoint_seba_spec_300_14024c49","block2_alarm_ch2_weekdays","273","1","read_data","logger_channel_alarms","weekdays"
"__export__.onpoint_seba_spec_301_ac6717da","block2_alarm_ch2_ex_lower_treshold","274","2","read_data","logger_channel_alarms","ex_lower_treshold"
"__export__.onpoint_seba_spec_302_5fe47f82","block2_alarm_ch2_ex_upper_treshold","276","2","read_data","logger_channel_alarms","ex_upper_treshold"
"__export__.onpoint_seba_spec_303_7fa92306","block2_alarm_ch2_ex_start","278","2","read_data","logger_channel_alarms","ex_start"
"__export__.onpoint_seba_spec_304_0a240a45","block2_alarm_ch2_ex_stop","280","2","read_data","logger_channel_alarms","ex_stop"
"__export__.onpoint_seba_spec_305_77079198","block2_alarm_ch2_ex_hysteresis","282","1","read_data","logger_channel_alarms","ex_hysteresis"
"__export__.onpoint_seba_spec_306_a60a8bfa","block2_alarm_ch2_ex_debounce","283","1","read_data","logger_channel_alarms","ex_debounce"
"__export__.onpoint_seba_spec_307_167ec3bd","block2_alarm_ch2_ex_weekdays","284","1","read_data","logger_channel_alarms","ex_weekdays"
"__export__.onpoint_seba_spec_308_b0f2f36f","block2_alarm_ch3_set_status","285","1","read_data","logger_channel_alarms","status"
"__export__.onpoint_seba_spec_309_3c4596ff","block2_alarm_ch3_lower_treshold","286","2","read_data","logger_channel_alarms","lower_treshold"
"__export__.onpoint_seba_spec_310_fe2d8789","block2_alarm_ch3_upper_treshold","288","2","read_data","logger_channel_alarms","upper_treshold"
"__export__.onpoint_seba_spec_311_ae387877","block2_alarm_ch3_hysteresis","290","1","read_data","logger_channel_alarms","hysteresis"
"__export__.onpoint_seba_spec_312_97f8c81e","block2_alarm_ch3_debounce","291","1","read_data","logger_channel_alarms","debounce"
